mdng,fr,mdng-remain,fr-remain
"Mo ee faŋni, ɓtv yo","Mouiller, humetter"," 
", 
"Mo ee faani, ɓtv yo",Boire un liquide épais," 
", 
"Mo ee fake, ɓtv yo","Malheur, malchance"," 
", 
470 Gbərri,"Ouvrir, détacher"," Za pwak zah gwii (gii) ka ga tə wommi Za pwak dəə pə jol ga lalle 
", 
"Bam mai mo tə tan ɓe, mo ka i zah gwari ya",Sans cesse," Mo ee bampyakke 
", 
"Mo ee ɓyaŋ, ɓtv yo","Tirer, allonger"," 
", 
Rĩi mombaŋ,Barbe," Dəɓ ah ciŋ pyaŋ ɓe Ŋwəə ka ciŋra pyaŋ daŋ ya, ma ciŋ ah vaŋno vaŋno Mawin ciŋ pyaŋ saŋne Me ’yah kan pyaŋ ne mo ɗə",(je veux te parler) 
"Gŋ, baa","Imbiber, eau stagnante"," Bii pyaŋ, wala puŋ pə elle Bam mo tə pəlli ɓe, bii pyaŋ pə el pəlli 
", 
"Kaŋkaŋ, kəyaŋ kəyaŋ",Au galop, Dəə tə ɗuu ga pyopyo , 
"Gŋ, ɓər, no pə cok ahe","Dans, dedans, à la place de, fait l’objectif, ensemble, unité"," Pə yaŋ maino, pə lakre, pəcelle (talle) Mo ka ne dəə ya, mo ge me ne gwii pə cok ah o ", 
Bii ah na bii goo əə,Vert," Pəkərahmo na goo əə, na faa pəə 
", 
"No ɓər ahe, pə lakre, pə elle",Dans le lit d’eau," Bii ɓoo ɓo pəcii, bii ge ɓər ɓo", 
Ɓər ahe,"Dans le pot, canaris", Rək swaa ga pəciiri Ŋwəə zoora wol pəciiri, 
Dəɓ ma tə ’wa mo joŋ fan daŋ pəsahe,A la foi," Dəɓ moo pə iŋ pəlli Iŋ Masəŋ ɓo, gbə ɓə Yesu Kristu ɓo mbaŋ ", 
471 Pə’manne,"Grand, gros"," Wadəə ah joŋ pə lii ɓe, nən lee fan o Dəɓ ah ŋwoo ɓo pə lii pəlli Dəɓ ah nə suu pə lii 
", 
Ɓər əəre,"Lieu sacré des hommes, des faiseurs de pluie", Bam goŋ haŋ gin pə əəre , 
Bai fa goŋga,Le menteur," Wacwahlle Dəɓ moo pə ber no cam, we nyiŋ ɓə ah ka 
", 
A ɓər bii,Sous ou dans l’eau, Me ga er bii pəbii ŋhaa sə , 
Ka pəsah ya,"Mauvais, méchant", Dəɓ ah pəɓe’ pəlli Dəɓ ah a pəɓe’ kal za daŋ, 
"Ka pəwahl a, a pəcoo","Court, nain"," Dəɓ ah pəcoo, kpuu ah pəcoo mo faa ɓə pəcoo Mo pəpaa ɓe, dəɓ faa: Pəcwəəre Za cwəəre, kpuu cwəəre Za faa dəɓ coo təlat", 
Ka pəyak ya,"Flexible, tendre, mou"," Pətaŋ nje nje Kwaa pəcuuri Lee kpuu mo ruŋ ɓe, a yea pəcuuri 
", 
Biŋ,Un peu," Me ɗahko pəɗah nai to so kal ne yeyee Me iko pəɗah ne jol to 
", 
"’Manna ’manna, palpal, belbelle, təɗe’ təɗe’","Sans problème, immédiatement, complètement, vide, désert"," Ru laa nyin kiŋ dəə, ru ryaŋ cok laŋ, ru lwaara yo kalra pəɗak pəɗak (palpal, ’manna ’manna) Cok ah a pəɗak pəɗak", 
Təsal ma yakke,Rocher," Me tə cii lakre, me ge lwaa pəɗakka fii mor sərri 
", 
"Mo ee taŋraŋ, kparwoi","Découvert, déhors, clairement", , 
472 Fa rwah wo suu yaŋ,"Craie, la chaud", Pəɗama pəfai , 
Kpuu,Arbre, Kpuu pəɗam pəyak pəlli , 
"Pəpaare, pəlli",En grand nombre, Zan taira ɓo zahpil pəɗik pəɗik ka laa ɓə za goŋe Dəfuu dəəra ga mor ki pəɗik pəɗik , 
 Bai swahe,(Fragile)," Kpuu (kuu) ah a pəɗao pəɗao, ka pəswah ya Kpuu təsooriŋ a pəɗao pəɗao, a hao gwari ",
Pəɗəkki,Profond," Me toŋ (coŋ) ne zəə dan gin gŋ pəɗəm gbel ge gŋ 
", 
Bii ah na faa (paa) ma pəə ahe,Rougeâtre," Zyim ah pəfaapəə (pəpaapəə) 
", 
Bii ah na faa mai mo yak ɓe,Jaune," A pəfaayakke (pəpaayakke) 
", 
Lok mbəro pəfai kaŋkaŋ,Blancheur éclatante, Lee yerri mafai tə kaŋkaŋ ahe, 
Mafai,Blanc," Pər goŋ pəfai (pəpai) Yerri ah pəfai (pəpai) na lok mbəro 
", 
"Taa ya ba, nən ya ba","Nouveau, nouvellement"," Lee yerri təsoo ba, a pəfuu kaikai", 
"Mo ee mafuu, ɓtv yo","Noir, obscur", , 
"473 Ka gak joŋ ya, pəɓe’","Difficile, méchant", Yeɓ ah pəgaɓɓe (pəgalle) pəlli wee nyee ka gak joŋ ah ya Dəɓ ah pəgaɓ (pəgal) pəlli, 
Dəɓ mai mo ka gak uu pel gaɓ ya,Peureux," Dəɓ gal ye ko, mo ’yaŋ ko ka 
", 
"Mo ee gilli, ɓtv yo","A moitié rempli, inégale", , 
"Pə’manne, pə lii",Gros, Kərzəə ah pəgoŋ ɗii ne? , 
"Dəwor, wala madəwinni ma joŋ fan ne ’nahmme",Homme ou femme salle," Mawin mai pəgoo pəlli, yaŋ daŋ ne ’nahmme 
", 
"ee Gwahe, ɓtv yo","Léger, agile", , 
Cok gaɓɓe,Temps de soudure," Zan faa cok pəgəmuk ne cok farel mo pee zan ne zalle, fakpahpəə mafuu zyee ya ba, mataa pee ɓe", 
"Makulli, ɓeekahe daŋ pəgbahe, a gbəə kyaŋ",Piquant," Zaki renra fan gbah pəlli 
", 
Bii fanne,Jaune," Təə maral, wala maɗal a pəgbəə Faa mo yak ɓe, a yea pəgbəə ta 
", 
Pə’nyah pə zahe,Sucré, Tənjwəə pəjeere , 
"Mo ee pəsahe, pəsyeeɓalle","Beau, belle, agréable, joli, bien", , 
Faɗa,"Encore, par étape, de nouveau", Magii ɓe jin muŋ pəki Mo ge joŋ yeɓ moo pəki, 
"474 Nən, kii",Digne," Masəŋ man pəyəkki, a nən pəkoŋ mai ka dəɓ mo yii ko pəlli 
", 
"Pə rolle, vərvərri, ka pə goŋga ya",Rusé," Dəɓ mai pəkwahlle 
", 
Jur bii goo əə ɓo biŋ,Bleu," Zyim ah pəkərahmo, na masyiibamme Jeertə ahe: Pəsyee, pəfuu 
", 
"Dəɓ kəəre, ne fan pəlli","Riche, richesse", Masəŋ ye joŋ dəɓ yea pəkəəre, 
"Fan lyaŋ, wala taa fanne",Vanne," Za kaŋ pəlai ne goo mənnəə (kəballe) a pə ’ahe 
", 
Gəə,"Dégagé, liberté"," Tok pəlai (plai) Dəɓ ma cak, wala lai ah kəka A kwan cok (tok) pəlai pel ahe, a joŋ fan mai daŋ zahzyil ah mo ’yahe", 
"Eere, kyeɓɓe","Chercher, observer"," Kan nahnən tə fanne Pəlak gwii mai mo muŋ ɓo pəzyil faa Pəlak jolle 
", 
Ɓər jolle,Paume de la main," Nyi swaa nyi me pəlamjol cyo, baa ɓər jol ɓe baa", 
Juu,Epervier," Mo ee lamma, lamlamma, ɓtv yo ", 
"Ka pə’man a, ka pə lii ya, a pəlaŋne",Petit," Gwii ah pəlaŋne 
", 
Fa ŋwəə fanne,Plume," Za maa zah pəlim pə aŋkər ŋwəə fan ne ko 
", 
475 Pəpaare,"Beaucoup, tellement, très"," Mo tə faa ɓə pəlli naiko fee joŋ mo ne? We faa ɓə pəlli nai ka Dəɓ ah ne dəə pəlli, gwii pəlli ta 
", 
Ne təm biŋbiŋ,Natronné," Ləə pəloŋne Kwaa mai ka pəjeer a, a pəloŋne 
", 
"Mo ee pənahmme, ɓtv yo",Résistant, , 
"Pə’manne, ne suu lii",Gros," Balle, zomme daŋ ara pəluuri Mo vaŋno ɓe dəɓ faa: Pə lii Bal pə lii, zom pə lii ta ", 
"Luuri, naasyenne, cenne daŋ ara pəlwahe","Gluant, glissant", , 
"Fan mai mo pəsyee biŋbiŋ, pəfuu biŋbiŋ ta",Gris," A ne korro pəmoo 
", 
"Pəyinni, dai ’yaŋ",En cachette," We goŋ sər ge dai yaŋ təsoo pəmuŋni, za pəlli təra ɓə ah ya 
", 
"Jiiri, ɓər zah makəsəŋ",Menton," Pəmbuu (morpəmbuu) baa me ɓo 
", 
Fan ma jwəə zahe,Acide," Baare, leemuŋ daŋ pəmbəəre 
", 
Zah’nan mai mo pəə kal ɓe,L’autre jour, We goŋ ge dai pənah ne suŋni, 
Zah’nan pəə təl ah kal vaŋno ɓe,Avant hier," Kəpel zah’nan ma təsoo Pənah dal (zok) təsoo 
", 
Ɓokɓokki,"Fin, doux", Sum ah laŋ pənik pəlli , 
476 Pə’nahmme,Avare," A nyi fan ah nyi dəɓ pəgaɓɓe A kwo fan ah daŋ pəsyemme, ka nən nyi nyi zan ki ya Dəɓ ah pənən pəlli", 
॥alle,Sillon," Zan ki ɓaŋ pəndaŋ (ɗalle) ruu sorre, madəəre, koo mbəro gŋ 
", 
"Mo ee njoɓ, pəɓe’ pəlli, njoɓnjoɓɓe",Vilain, , 
"Mo ee bəaarĩI, ɓtv yo",Petite grenouille de sable, , 
Ŋwoo ya,"Maigre, chétif"," Dəə ah daŋ pənyahe (nyah ɓo nyah), ka lwaara wom ya Mo pənyah nai fee joŋ mo ne? 
", 
Dəɓ ah pənyinni,"Voleur, tricheur, maraudeur"," A pənyin no cam, mo joŋ yella ne ki, a ɓaŋ fan zan pəmuŋni 
", 
"Weerere, pəlaŋne","Mince, étroit"," Fahlii ah pənyiŋ pəlli, mo cee ’ah ge lal nje 
", 
"Pəŋwəəre, ŋwəə ɓo pəluuri",Tâcheté," Gwii ah pəŋgaɓɓe Dəə maŋgaɓ ahe 
", 
"Mo ee məŋjwaa, ɓtv yo","Rhume de serveau, variole, bronchite, pneumonie, morve",, 
Pəŋgaɓ biŋ biŋ,"Tâcheté, rayé"," Kpiŋ pəŋwəəre Mo gbə madəə mai mo pəŋwəəre ge me ne ko 
", 
"Pəwinni, pətamme",Femelle," Bem wee ah daŋ pəŋwəəre, mawor ka gŋ ya 
", 
477 Pəlli,"Nombreux, beaucoup", Dəɓ ne ŋwəə pəpaare A ne dəə pəpaa kal za daŋ, 
Ɓər yaŋ,Chambre intérieure, Pah yaŋ pəə peldəə dan ga pəpahe , 
"Cok cii wulli, cok wulli","Dans le tombeau, cimétière", We kan wul ga pəpal o Cok za wul a pəpalle, 
Joŋ yeɓ ne zalle,"Labourer, piocher"," Bam mo tə ɓe, za ruu sorre, za pəpəə Me tə pəpəə ’wah mbəro 
", 
Bii gŋ biŋ biŋ,"Mouillé, trmpé"," Bam tə ɓo, sər pəpəə Yerri ɓe yak ya ba, a pəpəə 
", 
Nəə (faɓal) cokki,"Céphalope de grimm, biche cochon"," Pəpəə (popoo) jur (dər) nəə ma ɗii ne haĩ, wala nəəminni", 
Cwahe,"Brûler les plumes, les écailles"," Pər kahe, pər syiŋ Pər cuu fan mai mo cwah tə wii so mo zyee pəsah ya Pər kahe, wala syiŋ cuu syee təə ahe, wala təzyee ah tao", 
Ka gaɓ ya,Infatigable, Dəɓ ah a sye ne yeɓ pərah pərah , 
Ɓer zahe,"Si seulement, vaut mieux"," Bone mai me tə laani, pəram kənah me wə o, wala bai byaŋ ɓe 
", 
"Pəsah biŋ, a nən ahe","Mieux, eh bien", Me lwaa sor syiiɗah pəram ɓe Zahsuu ɓe zəzəə a pəram (prəm) o Pəram ka we tə ɓə ah ne wee ɓii daŋ, 
Pərwahe,Tranchant, Dəɓ ah a ne nyah syel pəranne , 
"478 Goŋga ɓə, njaŋ ɓə","Justice, droiture, vérité"," Dəɓ ah ye dəɓlii yaŋ goŋe, a ŋgoŋ pərat ɓə pəsahe 
", 
"Pər ne korro mo yeera ki ɓe, a byaŋra pərcoo; ka yea korro ya, ka yea pər ya ta",Mulet," 
", 
"Pətəm pətəm, ɓədəroŋ","Rougis de chagrin, beaucoup", Nwah pəə wo suu pərcək pərcək Nahnən ah fuu pətəm pətəm ne yee Za faa: Məŋgər nə gwii pərcək pərcək (pətəm pətəm), 
Cok mai wee jyo moo gin taira ki gŋ kəpel ’wal ki ɓəə ra nə ga yaŋ o,Avant dernière étape de rites d’initiation,, 
"Fee biŋ biŋ, yak təɗe’ ya",Humide, , 
"Pəswaare, a joŋ swaare",Abominable," Mo swə ne mawin dəɓ ki ka, ɓə ah a pərenswaare Me ka re fan moo ya a pərenjea wo ɓe", 
Kədəɓ kədəɓ,Se rassemblé nombreux," Mavakmər taira, wala cwəəra ɓo pəri pəri ŋhaano, zahməŋhəə yea gŋ no 
", 
Gəliɓ (gələɓ),"Enfoncé, creux"," Tətəl yaŋ ɗii ɓo pəriɓ (gəliɓ, gələɓ) ", 
"Kikiŋ, riirii, ka wat ya","Contourné, proverbiale"," Mo tə faa ɓə pərii mor feene? Mo faa pərii ka 
", 
"Pəkwahlle, vərvərri","Rusé, malin"," Mo joŋ yella, dəɓ ah pərol no cam", 
"Pər jur korro, a pə’man kal ko ɓe",Cheval," Za wol pər yaŋ, fa ruu sal za taa yo 
", 
"479 Mo ee baɓ, gwari, ɓtv yo",Rapidement, , 
"Pətətəəre, bai həəre, syesyee",Lent," Dəɓ ah pərul pəlli, a goo fahfal zan ceecee 
", 
Pəsahe,Lisse," Malai zyeɓ ɓər yaŋ ah pərwah pəlli, dəɓ səə gŋ leere 
", 
"Kii, soɓ","Oublié, laissé, perdre le souffle, complètement"," Dəɓ ah pəpəə soɓ pəryak pəlli, ’yah faa pəpəə soɓ faa maki ah bai pəəni Za faa: Ɓə gaɓ ah joŋ tətəl jin ko pəryak ta Ɓə foo ah zyak tətəl nyi pəryak", 
Kwo ga biŋ biŋ,"Flou, voir à peine, d'une manière obscur"," Kal ko pəɗək ɓe, me tə kwoko ga pəryu pəryu ye to o", 
Pəɓe’,"Sorcier, méchant, mauvais"," A faara masaa, wala pasaa ye ko Za ɗii dəwor ma ne saa ne pasaa, ɗii madəwin ne masaa Za faa ɗəɓ ah pəsaa no ta, ’yah faa dəɓ ah pə surri Dəɓ ah pəsaa pəlli", 
"Gboŋgboŋ, nyiŋ, suu rwahe, korelle","Très beau, belle, agréable, joli, bien"," Dəɓ ah, wala məlaŋ ah pəsahe (pəsyeeɓalle, pəjiŋ) Yeɓ ah mo joŋko daŋ a pəsahe (korelle, pəjiŋ)", 
Gwii,"Mouton, brebis"," Pəsahm ye gwii mai mo ne səə pəwahe (pəwahlle), so mo ka ’wəə zah pəlli ya Vaŋno ɓe, dəɓ ɗii: Pəsahmme Gwa, sai, wala pəpaa ɓe, dəɓ ɗii: Pəsəəre Ame ne pəsahm vaŋno, mə ah a ne pəsəə gwa", 
Pətəwonni,"Jalousie, envie, orgueil"," Dəɓ ah pəsai pəlli, ka zyii gbah jol zan ki ya Za sai ka ’yahra ka zan ki mo yea ne fan a, sai zye to ", 
480 Syim mai moo ɗuu voo (boo) dəɓɓi,Sang qui coule du nez après un choc," I voo (boo) nyi me cee pəsuŋni (suŋvoo, syiŋboo) 
", 
"Dəɓ tə vərvərri (barkoi, vəkoi, səromme)","Indolent, capricieux, paresseux"," Ka joŋ yeɓ ’wəə (’woo) nən kpee ya, a joŋ ne sərom (zorom) Dəɓ ah pəsərom (pəzorom) pəlli", 
Kpuu,Arbre," Mo ee təgomme, ɓtv yo ", 
"Mo ee pəsahmme, ɓtv yo",Pl, , moutons 
"Gorom, dəɓ worre","Fort, pâteux"," Dəɓ ah pəswah pəlli, ka gaɓ tə yeɓ gwari ya Za faa təker pəswah no ta, wala 
pətəgbemme, ’yah faa: Təker ka pətaŋ ya", 
"Bai fanne, pətətəəre",Pauvre," Dəɓ mai a pəsyak ɗii ne? Mo woo fan ɓo nyi nyi pasyak ɓe, a mo ne suu ɓo laŋ mo ga yea pəsyakke", 
"Ka pəfuu ya, ka pəfai ya, a pəsyee","Rouge, rouge sombre"," Zyim ah pəsyee baɗəɗə, wala pəsyee nyaknyakke Pəpaa ɓe, dəɓ faa: Pəsyeare Gwii vaŋno pəsyee Dəə ah ra daŋ pəsyeare", 
Wuu ruŋ tə kuu zah yaŋ goŋ pəsyee kee,"Cramoisie, rouge vif", , 
"Mo ee pəsahe, pəjiŋ, ɓtv yo","Très beau, joli, belle, agréable, bien", , 
"Mo ee ciiri, ciinaa, ɓtv yo",Marmite, , 
"Pəgaɓɓe, pəyəkki","Cher, rare"," Zəzəə sor tə lee luma pəsyemme Lee əə pəsyem ta Dəɓ moo kwo cee suu ah pəsyem ɓe, ka joŋ fan haihai ya", 
"481 Ɓaaɓe, ɓarde, tamɓe","Ancien, vieux"," Pətaa dəfuu ka joŋ fan nai ya Pətaa lee əə yea fea 
", 
"Ma tamme, ma winni",Féminin," Faɓal byaŋ pətamme, dəfuu byaŋ pəwinni Jeertə ahe: Pəworre 
", 
"Ma tam ahe, kəcwak ɓe","Vieilli, vieux"," Madəə ɓe a pətam o, ’yah faa tamra ɓe, swahra suu ɓe, kəcwakra ɓe Jeertə ahe: 
Pəcuuri, macuuri", 
"Ka pəyak ya, pəcuuri",Pateux," Kwaa pətaŋne Bii pətaŋne Coo təker pətaŋne 
", 
"Wavəlli (wambulli), ləkərri","Fou, imbécile, sot, stupide, follie mentale", Dəɓ ah a pətəgwĩi pəlli, 
Ɓoroɓoro,Gros gros," Ka pətaŋ ya, ka pəcuu ya ta Təker ah a pətəgbemme 
", 
"Pətətəəre, ka pəswah ya",Pauvre," Syem gaɓ dəɓ ah ge pətəjok pəlli 
", 
"Pə’manne, pə lii",gros gros," Me yeyee ŋhaa nahnən ɓe fuu pətəm pətəm (pərtəm pərtəm) 
", 
A cen zan pəlli,"Quérelleur, raporteur, détracteur"," Pa sababuu Dəɓ mo tə faa ɓəɓe’ dəɓ pel zan ki ɓe, ka dəɓ ah a pətəŋgeere, pa kyeɓ balle ", 
Bii ah jur suu tərim tə bii,"Bleu foncé, éméraudé"," Zyim gak yea pətərimbii no 
", 
"482 Mo ee barkoi, vəkoi, səromme","Paresseux, indolent",, 
"Mo ee təgwĩi, ləkərri, pasuu, ɓtv yo","Insencé, sot, stupide, imbécile",, 
"Mo ee vərvərri, ɓtv yo","hypocrisie, malhonnetteté, injuste, fausseté",, 
"Pəɗəkki, pəyəkki, pəwahe","Très loin, profondement", Me joŋ yeɓ me gaɓ me lee nəm pəvaŋ Me ɗəə kəndaŋ kal pəvaŋ, 
"Mo ee kəlyu, səə, ɓtv yo",S’ingérant,, 
"Ka pəcoo ya, a pəwahe (pəwahlle)","Haut, long, géant", Kpuu mai me pee ɓah joŋ dəɓlii giŋ pəwahe (pəwahl) be, 
"Mawinni, pətamme",Féminin," Mawin Payaŋ byaŋ pəwinni Madəə ah byaŋ pətamme Dəfuu byaŋ pəwinni, v wala pəŋwəəre, pp Amma faɓal byaŋ pətamme v pətəəre pp Woo ɓə ah suuki ka Jeertə ahe: Pəworre", 
Woi,Jeune fille capable de se marier," Məlaŋwin mai mo joŋ dəɓlii ɓe, a pə’man o Dəɓ ah ne məlaŋ vaŋno pəwoi nən kan wor o", 
"Bii ah pəwokki, ka nən er a","Refroidi, lent"," Ka pəcwak ya, ka kahkah laŋ ya, a pəwokki", 
"Maworre, ka pəwinn a","Mal, garcon, fils", Mawin ah byaŋ pəworre Magwii ah byaŋ təsoo pəworre Madəə ah byaŋ pəwor toto, 
Pəpalle,Résurrection, Yesu ur pə wulli Za daŋ ga urra pəwulli mor kiita, 
483 Ɓər yaŋ maɗək ahe,Chambre intérieure," Dəɓ syee pəpah ga pəwulli (pəhulli) 
", 
Pəswahe,"Dur, entête"," Təsal pəyakke Kpuu manyeeki ah laŋ yea pəyak ta Zahzyil yakke 
", 
"Dəɓ fan jolle, dəɓ sahe","Important, glorieux", Goŋ mayəkki Masəŋ pəyəkki , 
Pəgaɓɓe,Lourd," Dəɓ vaŋno ka gak ɓaŋ ya, a pəyəkki Yeɓ ah pəyəkki 
", 
"Ɓə foo maɗək ahe, pəcii ɓərri",Dans le coeur," Ɓə pəzahzyil dəɓɓi, dəfuu, za ka tə ya 
", 
"A pəfai, ne lak pəzyilli, jur fan ma ɗii ne təweahe, wala təroŋ",Cauri," Wee zataa saa sahe na təroŋ ta, amma ka cii na təroŋ ya Za in cahcah ne pəzalla (bəzalle) Za faa: mo dədaa ne pəzal (bəzal) ’min pəsahe (fan ɗəə ɓo)", 
We mai pəzwahe,Stupidite, Dəɓ zwah ye ko , 
Ɓər gəəzyii,"Par, en"," Syiŋki, sai, syelle pəəra gin pəzyil dəfuu Za faa: Loo zoo tə ge pəzyilli (fa ɗəə ɓo) 
", 
"Yak ya ba, a pə pəə","Frais, humide, mou, pas mur"," Me vah yerri ɓe ɓo a pə pəə ba Za faa: Wel ah pə pəə no ta, ’yah faa: Wel ah swah ya, a pətəgwĩi", 
Zyeɓ ’wahe,"Sarcler, cultiver"," Pəə mbəro, pəə ’wahe Za pəpəə ne kpahe Kpah pəə dəə no zəzəəko pəlli Pər mor ’wahe 
", 
"484 Kalle, soɓ cok ahe, syee","Sortir, passer, dévancer"," Pəə ko ɗah kal ɓaa ɓe Dəɓ ah ge uu, wala kaa ɗə ya pəə kal sə Dəɓ gak pəə tə yeɓɓe, pəə gin yaŋ Ɓə faa ɓo pəə tətəl ɓe ɓe", 
"Mo ee cepəəre, ɓtv yo","Enfant posthume, rite d’une cérémonie funèbre",, 
Sər lwahe,"Boue, vase, terre argileuse"," Pee ah ne pəəre, dəɓ səə, wala fiŋ lee gŋ gwari", 
"Fiini, juu pelle, ɓer zah nyi dəɓɓi","Prier, implorer, invoquer, supplication"," Me pəə Masəŋ ka rwah faɓe’ ɓe ge lalle, ako laa pəə ɓe ɓe Me pəə dəɓ ah pəlli ka mo joŋ ko fan a ka, so laa zah ɓe ya", 
"Mo ee səpəəmanəə, ɓtv yo",Arbre, , 
Pə’manne,"Large, vaste, immence"," Fahlii yaŋ ah pə’ah pəlli, mo coo ge gŋ biŋ ɗə", 
"Pə lii, ne suu lii, wala pəpaare","Gros, grand, vaste, énorme, immense, important, volumineux, ", Mo lee wadəə mai mo pə’man ŋhooko,
,magnifique,, 
Ka nyi fan a,Avare," Ako mo ne fan pəlli laŋ ka nyi nyi zan a Dəɓ moo dəɓ ’nam ye ko 
", 
Naa mai pə’nyah pəlli,"Bon, agéable, savoureux", Me tə laa pə’nyahre mor suu ɓe jam, 
Dəɓ sahe,"Faire content, une vie réussie, satisfaite"," Goŋ mai pə’nyah no cam, za ’yah ko daŋ, dəɓ sah ye ko", 
485 Patə jemma gwai (20) syel masyin fanŋwəə zah Mundaŋ,20èm lettre d’alphabet Moundang," Dəɓ mo tə ɗii ɓe, dəɓ fai təkpuuzah gbər nje, ɓə məə ga kyaŋ", 
"Ge ra ɓe, ge ra ya ba","Eux, elles, les", Tə ga ge ra no , 
"Raa bii nyi laolao, bii raa zan ɓe","Engloutir, noyer, se noyer", , 
"Fer nəə, wala sorre pəciiri, wala tə wii","Griller, frire, rotir"," Mah yaŋ tə raa nəə Ma ɓe raa sorre 
", 
Joŋ (doŋ),"Plier, courber, rabaisser, tordu, plagé"," Kpuu ah ka ɓərak (səraŋ) ya, raa ɓo raa Kəndaŋ ah ka ne yeɓ ya, raa ɓo 
", 
"Muŋni, fuuni","Se cacher, se dissimuler parmi", Wee ge raɓra pəzyil faa lalle , 
Ge gbah syiŋ zahbii,Pêcher," Za tə ga rah (kər) syiŋ tə’nahko 
", 
Cok daŋ,"Inonder, déborder", Nyiŋ cokki Bii rah sər ɓarde ɗə , 
"Ruŋ ya, wala kan sam ya","Pas mûr, pas à point, pas cuit"," Ki nən joŋ ya Mo joŋ ɓo ne rahlle Mo coŋ nwah ah ɓo ne rahlle, kan sam ya ba 
", 
Faa ɓə ga səŋ ne kyaŋ pə’manne,"Cris de joie, youyou"," Dah gor ne ɓə ’nyahre Za rahtərah tə goŋe, tə zaluuri 
", 
Wee nyee ne gee raira kpuu kaa gŋ,"Grimper, gravir, s’accrocher, s’agripper"," Magbəgbəl rai ɓo mo jolle, mo ɓer ge lalle", 
486 Ma nyeeno,"Ceux, cette, celles, ceux-là, ceux-ci, celles-ci "," Fan ma raino, wala fan ma ra nyeeno Za rai gera ɓe Za raiko",
"Pəlli, pə’manne","Beaucoup, débordant", Re farel baa ɓər rairai Bii ah baa cok rairai, 
Zahki zahki,"Moitié, démi"," Mo nyi me raita, ma ɓo mo yea raita ta", 
"Ru tə rak (ryak) wolle, mo ge re ne ru o","Manger, ronger"," A’a, me rak (ryak) wol ɓe, ɓər ɓe baa ɓe 
", 
Kpuu yo,Nauclea latifolia," Ral yea lii ah kah elle Ral mo ruŋ ɓe,  za renne, a pəjee suu ki ne bəm biŋ biŋ 
", 
Faa gbə təl yaŋ (talle),"Chaume, pailles fines et résistante"," Me ga saaŋ ramme Mavokki, dabah, kalle, gwakke, mbaore daŋ ram ye ra 
", 
"I zah fanne, maani","Mouiller, plonger dans l'eau, rafraichir", Ram tətəl korre Ram təl faa ga səŋ Zyak ram təl faa ɓoFaŋni (puŋni) Ram ne bii ka joŋ pəpəə , 
Syem tə laa suu ah pə ram zəzəə o,"Mieux, meilleur"," Fan joŋ ah zəzəə pəram 
", 
Faa,"Paille, chaume"," Təbyaŋ ramsyee ne waa, a mbah yerri dəɓɓi, dəɓ mo tə nəə ɓe, a cur jolle, a nəə pəgaɓɓe 
", 
Wə syelle,Pas tranchant," Ka ne syel ya, a pə ranne Nyah ah ran ɓe, wala wə syel ɓo 
", 
"487 Mo ee ɗao, ɓtv yo","Avant tout, d’abord, en priorité"," 
", 
"Fefea, gbə mgbak də ya",Tenir légérement," Mo lak fan ah raoɗaŋ ka mo gbə mgbakke 
", 
"Goo, giŋ (gəŋ), mbah","Accroché, raccroché, suspendu, pendillé, affiché", Me ɗəə kəndaŋ rao tə kpuu səŋ Kəbah rao tə kpuu ki, 
Jin ge,"Se répercuter, retomber sur", Fa joŋ ah ne ɓə faa ah daŋ real ge tətəl ah soosəŋ, 
Coo,Fermer les yeux," Zana, na rea (rwah, rah) nən man tə ɓəɓe’ ka! Za Kristu mo tə juura pel ɓe, a rea (rwahra, rahra) nahnənni", 
Zah zəmai,"Gain, profit, bénéfice, surplus, avantage"," Bii ahe Fer jol, wala joŋ yeɓ ka lwaa maki ah ga gŋ Dəɓ ah lwaa reba ne fan ah pəlli Dəɓ gak lwaa reba yeɓ sah ne yeɓ ɓe’", 
"Mo ee manaitahrĩi, ɓtv yo",Lannea chympari, , 
"Pərwahe, pəyəkki",Fluide," Manəm tənjwəə a ɗuu reɗɗeɗɗe pə tahsah a pə zah pə’nyahre 
", 
"Re, riŋ, faa","Dit, parlé, rapporté", Mo ge joŋ təgbana mai me ree (faa) nyi mo ryakryakke Dəɓ ah ge ree nyi we ya ne? Ree wee ɗəne? , 
"Riŋ, faa","Dire, parler"," Dəɓ ah ge ree, wala riŋ nyi we ɗəne? We ree, wala riŋ ɓə ah nyi ko ɓe ne? 
", 
488 Coo,"Coller, boucher, fermer"," Ree zah yaŋ, zah talle Ree məŋgəə tə yuŋni, ree lak ɓal velo Fan mo pəpaa ɓe, dəɓ faa: Rea Rea zah yaŋ ah ra daŋ vər ɓe Tənjwəə ree zah ge pə yii kpuu", 
"Ɓoo syakke, dah syakke",Sourire," syesyak ’yaŋ ’yaŋ Dəɓ ah ree syak njemen kalle 
", 
"Yakke, tai, wala tər ge təki, ge pəlaŋne","Dessécher, fanner, se flétrir, se tordre, se récroquiviller"," Bam mo tə tə sor ya nən pəlli ɓe, goo ah a reeni Wak gwii nən com ree ɓe Nəə cwah ree tə wii ta", 
Pənyiŋ,"Etroit, mince"," Mo tə ga yaŋ ah ɓe, mo ɓaŋ fahlii matə reere (weereree) ahe, ma ’ah ah ga luma 
", 
